,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Session
2,400,100,50,500,15,16,169
0,0,100,50,500,15,32,170
1,200,100,50,500,15,32,170
2,400,100,50,500,15,32,170
3,600,100,50,500,15,32,170
0,0,100,50,500,15,16,171
1,200,100,50,500,15,16,171
2,400,100,50,500,15,16,171
3,600,100,50,500,15,16,171
0,0,100,50,500,15,32,172
1,200,100,50,500,15,32,172
2,400,100,50,500,15,32,172
0,0,100,50,500,15,16,173
1,200,100,50,500,15,16,173
2,400,100,50,500,15,16,173
3,600,100,50,500,15,16,173
0,0,100,50,500,15,32,174
1,200,100,50,500,15,32,174
2,400,100,50,500,15,32,174
0,0,100,50,500,15,16,175
1,200,100,50,500,15,16,175
2,400,100,50,500,15,16,175
0,0,100,50,500,15,32,176
1,200,100,50,500,15,32,176
2,400,100,50,500,15,32,176
3,600,100,50,500,15,32,176
0,0,100,50,500,15,16,177
1,200,100,50,500,15,16,177
2,400,100,50,500,15,16,177
0,0,100,50,500,15,32,178
1,200,100,50,500,15,32,178
2,400,100,50,500,15,32,178
3,600,100,50,500,15,32,178
0,0,200,50,200,112,128,179
1,1,1,0,0,112,128,179
0,0,200,50,200,112,128,180
1,1,1,0,0,112,128,180
2,1000,200,50,200,112,128,180
3,1200,200,50,200,112,128,180
0,0,200,50,200,112,128,181
1,700,200,50,200,112,128,181
2,1200,200,50,200,112,128,181
3,1600,200,50,200,112,128,181
0,1,1,0,0,112,128,182
1,500,200,50,200,112,128,182
2,1500,200,50,200,112,128,182
3,2000,200,50,200,112,128,182
4,2400,200,50,200,112,128,182
5,2500,200,50,200,112,128,182
0,0,200,50,200,15,128,183
1,1,1,0,0,15,128,183
2,500,200,50,200,15,128,183
3,1000,200,50,200,15,128,183
4,1500,200,50,200,15,128,183
0,0,200,50,200,112,128,184
1,1,1,0,0,112,128,184
2,400,200,50,200,112,128,184
3,500,200,50,200,112,128,184
4,600,200,50,200,112,128,184
5,1500,200,50,200,112,128,184
0,0,200,50,200,112,128,185
1,400,200,50,200,112,128,185
2,700,200,50,200,112,128,185
0,0,200,50,200,112,128,186
1,320,200,50,200,112,128,186
2,400,200,50,200,112,128,186
3,500,200,50,200,112,128,186
0,0,200,50,200,112,128,187
1,500,200,50,200,112,128,187
2,1000,200,50,200,112,128,187
0,0,200,50,200,112,128,188
0,0,200,50,200,112,128,189
0,0,200,50,200,112,128,190
1,500,200,50,200,112,128,190
2,1000,200,50,200,112,128,190
0,0,200,50,200,112,128,191
1,1,1,0,0,112,128,191
2,400,200,50,200,112,128,191
0,0,200,50,200,112,128,192
1,400,200,50,200,112,128,192
2,700,200,50,200,112,128,192
3,1300,200,50,200,112,128,192
0,0,200,50,200,112,128,193
1,1300,200,50,200,112,128,193
2,1600,200,50,200,112,128,193
0,0,200,50,200,112,128,194
1,400,200,50,200,112,128,194
2,700,200,50,200,112,128,194
0,0,200,50,200,112,128,195
1,400,200,50,200,112,128,195
2,600,200,50,200,112,128,195
0,0,200,50,200,112,128,196
1,400,100,50,200,112,128,196
2,400,200,50,200,112,128,196
0,0,200,50,200,112,128,197
1,300,200,50,200,15,128,197
2,300,200,50,200,112,128,197
0,400,100,50,200,15,128,198
1,400,100,50,200,111,128,198
2,400,100,50,200,112,128,198
3,400,300,50,200,15,128,198
4,400,300,50,200,112,128,198
0,0,200,50,200,14,128,199
1,0,200,50,200,15,128,199
2,0,200,50,200,112,128,199
3,300,200,50,200,15,128,199
4,300,200,50,200,112,128,199
0,0,200,50,200,12,128,200
1,0,200,50,200,15,128,200
2,0,200,50,200,112,128,200
3,500,200,50,200,15,128,200
0,0,200,50,200,15,128,201
1,0,200,50,200,112,128,201
2,400,200,50,200,15,128,201
0,0,200,50,200,15,32,202
1,0,200,50,200,15,64,202
2,0,200,50,200,15,128,202
0,0,200,50,200,15,128,203
0,0,200,50,200,15,128,204
1,500,200,50,200,15,128,204
2,800,200,50,200,15,128,204
3,1100,200,50,200,15,128,204
0,0,200,50,200,15,128,205
1,500,200,50,200,15,128,205
2,800,200,50,200,15,128,205
0,130,200,50,200,15,128,206
1,800,200,50,200,15,128,206
2,1000,200,50,200,15,128,206
3,1300,200,50,200,15,128,206
0,800,200,50,200,15,0,207
1,800,200,50,200,15,128,207
2,800,200,50,200,112,128,207
3,1100,200,50,200,15,128,207
0,1100,200,50,200,15,128,208
1,1400,200,50,200,15,128,208
2,1600,200,50,200,15,128,208
0,0,200,50,200,112,128,209
1,800,200,50,200,112,128,209
0,0,200,50,200,15,32,210
1,0,200,50,200,15,64,210
2,0,200,50,200,15,128,210
3,0,200,50,200,112,128,210
0,0,200,50,200,15,16,211
1,0,200,50,200,15,128,211
2,0,200,50,200,16,128,211
3,0,200,50,200,112,128,211
0,0,200,50,200,15,128,212
0,0,200,50,200,15,16,213
1,0,200,50,200,15,32,213
2,0,200,50,200,15,64,213
0,0,200,50,200,208,32,214
