Monkey,Date,Ref Amp,Ref PW,Ref Freq,Ref Dur,Active Channels,Return Channels,Comp Amp,Comp PW,Misses,Hits,FAs,CRs
Y,20161220,0,0,0,0,15,16,30,200,11,1,1,11
Y,20161220,0,0,0,0,15,16,50,200,11,1,0,20
Y,20161220,0,0,0,0,15,16,60,200,0,0,1,0
Y,20161220,0,0,0,0,15,16,70,200,12,0,4,26
Y,20161220,0,0,0,0,15,16,90,200,12,0,3,16
Y,20161220,0,0,0,0,15,16,100,200,22,3,5,31
Y,20161220,0,0,0,0,15,16,110,200,33,1,14,52
Y,20161220,0,0,0,0,15,16,120,200,24,1,11,34
Y,20161220,0,0,0,0,15,16,130,200,16,21,10,36
Y,20161220,0,0,0,0,15,16,140,200,12,14,4,35
Y,20161220,0,0,0,0,15,16,150,200,3,33,11,38
Y,20161220,0,0,0,0,15,16,160,200,1,26,8,34
Y,20161220,0,0,0,0,15,16,170,200,2,33,8,60
Y,20161221,0,0,0,0,208,32,30,200,1,0,0,1
Y,20161221,0,0,0,0,208,32,70,200,1,0,0,0
Y,20161221,0,0,0,0,208,32,80,200,19,4,10,29
Y,20161221,0,0,0,0,208,32,90,200,1,0,0,0
Y,20161221,0,0,0,0,208,32,100,200,31,4,15,40
Y,20161221,0,0,0,0,208,32,120,200,18,18,19,41
Y,20161221,0,0,0,0,208,32,140,200,4,33,10,32
Y,20161221,0,0,0,0,208,32,150,200,1,0,0,0
Y,20161221,0,0,0,0,208,32,160,200,1,37,7,61
Y,20161221,0,0,0,0,208,32,170,200,0,1,1,5
Y,20161221,0,0,0,0,208,32,180,200,2,37,9,63
Y,20161221,0,0,0,0,208,32,200,200,0,38,8,48
Y,20161221,0,0,0,0,208,32,220,200,0,33,7,60
Y,20161221,0,0,0,0,208,32,240,200,0,16,4,14
Y,20161222,0,0,0,0,224,16,50,200,1,0,0,0
Y,20161222,0,0,0,0,224,16,70,200,0,1,0,0
Y,20161222,0,0,0,0,224,16,80,200,36,2,5,43
Y,20161222,0,0,0,0,224,16,91,200,33,2,4,28
Y,20161222,0,0,0,0,224,16,102,200,30,4,3,25
Y,20161222,0,0,0,0,224,16,114,200,36,0,2,35
Y,20161222,0,0,0,0,224,16,122,200,1,0,0,6
Y,20161222,0,0,0,0,224,16,125,200,31,3,9,28
Y,20161222,0,0,0,0,224,16,137,200,36,0,0,27
Y,20161222,0,0,0,0,224,16,148,200,34,1,3,35
Y,20161222,0,0,0,0,224,16,157,200,1,0,0,0
Y,20161222,0,0,0,0,224,16,160,200,34,5,4,40
Y,20161222,0,0,0,0,224,16,170,200,5,0,1,12
Y,20161222,0,0,0,0,224,16,180,200,6,0,1,9
Y,20161222,0,0,0,0,224,16,190,200,5,0,3,5
Y,20161222,0,0,0,0,224,16,200,200,5,0,3,5
Y,20161222,0,0,0,0,224,16,210,200,4,1,1,5
Y,20161222,0,0,0,0,224,16,220,200,4,0,2,2
Y,20161222,0,0,0,0,224,16,230,200,6,0,1,6
Y,20161223,0,0,0,0,15,128,30,200,40,2,20,31
Y,20161223,0,0,0,0,15,128,50,200,37,5,13,34
Y,20161223,0,0,0,0,15,128,70,200,35,5,17,41
Y,20161223,0,0,0,0,15,128,90,200,29,9,15,32
Y,20161223,0,0,0,0,15,128,110,200,1,40,9,41
Y,20161223,0,0,0,0,15,128,130,200,3,37,22,27
Y,20161223,0,0,0,0,15,128,150,200,0,42,7,37
Y,20161223,0,0,0,0,15,128,170,200,0,40,11,31
Y,20161226,0,0,0,0,15,128,30,200,46,3,13,40
Y,20161226,0,0,0,0,15,128,50,200,44,3,12,54
Y,20161226,0,0,0,0,15,128,70,200,46,1,9,42
Y,20161226,0,0,0,0,15,128,90,200,45,2,12,30
Y,20161226,0,0,0,0,15,128,110,200,2,41,14,37
Y,20161226,0,0,0,0,15,128,130,200,0,45,7,54
Y,20161226,0,0,0,0,15,128,150,200,0,47,7,51
Y,20161226,0,0,0,0,15,128,170,200,1,47,5,38
Y,20161227,0,0,0,0,15,128,30,100,4,2,1,5
Y,20161227,0,0,0,0,15,128,30,150,4,0,1,3
Y,20161227,0,0,0,0,15,128,30,200,4,2,1,0
Y,20161227,0,0,0,0,15,128,30,250,5,1,0,5
Y,20161227,0,0,0,0,15,128,30,300,2,1,1,2
Y,20161227,0,0,0,0,15,128,30,350,6,0,2,6
Y,20161227,0,0,0,0,15,128,30,400,5,0,3,6
